"","term","estimate","std.error","statistic","p.value"
"219","FTI_reading198",-0.0226206416073233,0.23283895684351,-0.097151447137459,0.922614193401644
"220","FTI_reading199",0.0577119935051194,0.279321975418168,0.206614583112266,0.8363283022708
"221","FTI_reading2",0.0314132970416834,0.220399561015388,0.142528854853255,0.886674188559842
"222","FTI_reading2.8",-0.0262909129579174,0.22037338127762,-0.119301672486464,0.905046289526086
"223","FTI_reading20",0.00663981691739374,0.21943476600034,0.0302587280877062,0.975863214061666
"224","FTI_reading200",0.0745357453467076,0.225191033477649,0.33098895722287,0.740681565688517
"225","FTI_reading201",0.0559850868939243,0.271273335791126,0.206378878818489,0.836512379237866
"226","FTI_reading203",0.0710226091568569,0.240352206004281,0.295493893472282,0.767642040427238
"227","FTI_reading204",0.0474228665490548,0.226183065030962,0.209665858682051,0.833946173724173
"228","FTI_reading205",0.0718318907953061,0.211006439827978,0.340425111450943,0.733566043561966
"229","FTI_reading207",-0.00353957055685838,0.271734742596689,-0.0130258299804962,0.989608262081548
"230","FTI_reading21",0.0235840430530737,0.229094335819855,0.102944679835379,0.918015430900392
"231","FTI_reading210",-0.0440102223675523,0.277693817810076,-0.158484703457289,0.874088135131021
"232","FTI_reading213",0.0121617265228899,0.231646025193677,0.052501339113078,0.958133574127553
"233","FTI_reading214",0.00415504681883785,0.258602353937218,0.0160673201754637,0.987182013181551
"234","FTI_reading215",0.00254633776478649,0.28111137603712,0.00905810999427592,0.992773521499632
